epoch,accuracy,iou_class_0,iou_class_1,iou_class_2,iou_class_3,loss,lr,mean_iou,val_accuracy,val_iou_class_0,val_iou_class_1,val_iou_class_2,val_iou_class_3,val_loss,val_mean_iou
0,0.9722408652305603,0.9729440808296204,0.017410539090633392,0.03344655781984329,0.11954779177904129,0.5186291933059692,9.999999747378752e-06,0.2858372628688812,0.9793733954429626,0.9793736338615417,0.0,0.0,0.0,0.5771503448486328,0.24484340846538544
1,0.9734617471694946,0.9752753973007202,0.07033009827136993,0.14953799545764923,0.2624306380748749,0.4744138717651367,9.999999747378752e-06,0.36439353227615356,0.97922682762146,0.9796398878097534,0.04151996970176697,0.02908290922641754,0.15043671429157257,0.5042862892150879,0.3001698851585388
2,0.9739972352981567,0.9760974049568176,0.11170367896556854,0.19968286156654358,0.3451826572418213,0.4550672471523285,9.999999747378752e-06,0.40816667675971985,0.977895975112915,0.979177713394165,0.04559546336531639,0.15443730354309082,0.3121357858181,0.4799560308456421,0.3728365898132324
3,0.9744410514831543,0.9765514731407166,0.1165013313293457,0.2488008290529251,0.33825287222862244,0.4438161551952362,9.999999747378752e-06,0.42002665996551514,0.9754092693328857,0.977655827999115,0.11102352291345596,0.21949456632137299,0.354690283536911,0.46539369225502014,0.4157160520553589
4,0.976361095905304,0.9783061146736145,0.15067636966705322,0.29155030846595764,0.368674099445343,0.4303123950958252,9.999999747378752e-06,0.4473017454147339,0.9791860580444336,0.9805651903152466,0.0949881449341774,0.13689541816711426,0.3611754775047302,0.47229012846946716,0.3934060335159302
5,0.9774153828620911,0.9793379306793213,0.17429064214229584,0.2981955409049988,0.42129072546958923,0.41986167430877686,9.999999747378752e-06,0.468278706073761,0.9699429273605347,0.9729947447776794,0.1005910336971283,0.20278437435626984,0.3578934073448181,0.477760910987854,0.408565878868103
6,0.978969395160675,0.9806348085403442,0.20235571265220642,0.32815781235694885,0.4335443377494812,0.40696460008621216,9.999999747378752e-06,0.48617318272590637,0.9810426831245422,0.9823774695396423,0.11047469824552536,0.2594582736492157,0.4180678427219391,0.45854854583740234,0.44259458780288696
7,0.9788486361503601,0.9804479479789734,0.2177528738975525,0.34499314427375793,0.42580264806747437,0.40171295404434204,9.999999747378752e-06,0.49224916100502014,0.9789938926696777,0.9805330634117126,0.13170845806598663,0.21874834597110748,0.38546517491340637,0.457986444234848,0.42911380529403687
8,0.9800125956535339,0.9813526272773743,0.23936907947063446,0.360988587141037,0.44957977533340454,0.39222025871276855,9.999999747378752e-06,0.5078225135803223,0.976519763469696,0.9787225127220154,0.08578744530677795,0.23475833237171173,0.39659473299980164,0.46662014722824097,0.4239657521247864
9,0.9801346063613892,0.9815922379493713,0.25177839398384094,0.37604522705078125,0.434519499540329,0.38811036944389343,9.999999747378752e-06,0.5109838247299194,0.9778133630752563,0.9802758097648621,0.13476841151714325,0.27526605129241943,0.4109802842140198,0.45910635590553284,0.45032262802124023
