epoch,accuracy,iou_class_0,iou_class_1,iou_class_2,iou_class_3,loss,lr,mean_iou,val_accuracy,val_iou_class_0,val_iou_class_1,val_iou_class_2,val_iou_class_3,val_loss,val_mean_iou
0,0.9601798057556152,0.9605683088302612,0.0030178045853972435,0.02259526215493679,0.003747686743736267,0.5426292419433594,9.999999747378752e-06,0.2474822700023651,0.9798845052719116,0.9798846244812012,1.8030866613116814e-06,2.2094996893429197e-05,0.0,0.582283616065979,0.24497713148593903
1,0.9732376933097839,0.9746363162994385,0.0505000576376915,0.10824751108884811,0.1975865364074707,0.48321348428726196,9.999999747378752e-06,0.3327426016330719,0.9786641001701355,0.9786655306816101,9.846228749665897e-06,5.215183409745805e-05,0.0,0.60111403465271,0.24468186497688293
2,0.9735280871391296,0.9755025506019592,0.09785591065883636,0.20956844091415405,0.3013260066509247,0.44768327474594116,9.999999747378752e-06,0.3960632085800171,0.9795809984207153,0.9797251224517822,0.011806489899754524,0.016136175021529198,0.06888139247894287,0.5222054123878479,0.26913729310035706
3,0.9745315909385681,0.9765275120735168,0.13070958852767944,0.24130554497241974,0.3378790318965912,0.42948850989341736,9.999999747378752e-06,0.4216054081916809,0.9805447459220886,0.9806909561157227,0.011292614974081516,0.031071608886122704,0.19590570032596588,0.5131303071975708,0.30474019050598145
4,0.9753387570381165,0.977196455001831,0.13654698431491852,0.2680417001247406,0.36642518639564514,0.419768363237381,9.999999747378752e-06,0.43705257773399353,0.9806346297264099,0.9811849594116211,0.06165824085474014,0.10534768551588058,0.30410781502723694,0.4787922501564026,0.3630746603012085
5,0.9766737222671509,0.9782839417457581,0.16612565517425537,0.3128780722618103,0.40219587087631226,0.4030267894268036,9.999999747378752e-06,0.4648708999156952,0.9800740480422974,0.9811739921569824,0.10485759377479553,0.20344780385494232,0.3750609755516052,0.4624299705028534,0.4161350727081299
6,0.9780230522155762,0.9797624349594116,0.18801374733448029,0.3523377776145935,0.41481634974479675,0.38895508646965027,9.999999747378752e-06,0.48373255133628845,0.9782816171646118,0.9800823330879211,0.14101479947566986,0.25050705671310425,0.38751736283302307,0.4532816708087921,0.4397803544998169
7,0.9786952137947083,0.9804388284683228,0.19429165124893188,0.3573697507381439,0.40618860721588135,0.3850742280483246,9.999999747378752e-06,0.48457223176956177,0.9753480553627014,0.9778426289558411,0.11806643009185791,0.2543758451938629,0.3708766996860504,0.4572644829750061,0.4302904009819031
8,0.9793251752853394,0.9807614088058472,0.20741629600524902,0.37443771958351135,0.4174991548061371,0.38085654377937317,9.999999747378752e-06,0.49502861499786377,0.9781527519226074,0.9803171157836914,0.134956955909729,0.2378472536802292,0.33954164385795593,0.46025344729423523,0.4231657087802887
9,0.9804068207740784,0.9817198514938354,0.23339395225048065,0.3825807571411133,0.4426654875278473,0.3701947033405304,9.999999747378752e-06,0.5100899934768677,0.9786742925643921,0.980219841003418,0.08716452866792679,0.18866778910160065,0.4076507091522217,0.4684731066226959,0.4159257113933563
10,0.9812168478965759,0.9823770523071289,0.26842063665390015,0.4143160879611969,0.4250794053077698,0.35623836517333984,9.999999747378752e-06,0.5225483179092407,0.9782357811927795,0.9802770614624023,0.12841956317424774,0.2902028560638428,0.3975243866443634,0.452298641204834,0.4491059184074402
11,0.9815410375595093,0.9826534986495972,0.2876833379268646,0.40744972229003906,0.4395661950111389,0.35188183188438416,9.999999747378752e-06,0.5293381810188293,0.9797323942184448,0.9809607267379761,0.0706789642572403,0.16467610001564026,0.4090683162212372,0.4744502902030945,0.40634602308273315
12,0.981583297252655,0.9827219247817993,0.279308557510376,0.4221692979335785,0.46401724219322205,0.35189375281333923,9.999999747378752e-06,0.5370542407035828,0.9753891229629517,0.978073000907898,0.10865536332130432,0.23713040351867676,0.3831697106361389,0.46104541420936584,0.42675715684890747
13,0.9828684329986572,0.9838119745254517,0.31840088963508606,0.4395572245121002,0.4757806658744812,0.3385678827762604,9.999999747378752e-06,0.5543876886367798,0.9794750213623047,0.9814649224281311,0.13192735612392426,0.2964388132095337,0.4281235337257385,0.4519628584384918,0.4594886302947998
14,0.9831295609474182,0.9841038584709167,0.3088090121746063,0.46378687024116516,0.4746134579181671,0.3285699188709259,9.999999747378752e-06,0.5578283071517944,0.979501485824585,0.9817763566970825,0.13990026712417603,0.19112272560596466,0.44185906648635864,0.45835360884666443,0.4386645555496216
15,0.9838353991508484,0.98471999168396,0.327518492937088,0.4712764620780945,0.46700620651245117,0.33161652088165283,9.999999747378752e-06,0.5626302361488342,0.978854775428772,0.9806634187698364,0.12850989401340485,0.33039942383766174,0.3532382547855377,0.45605024695396423,0.4482027292251587
16,0.9835697412490845,0.9845703840255737,0.34658169746398926,0.46482059359550476,0.47919270396232605,0.32026445865631104,9.999999747378752e-06,0.5687913298606873,0.9811400771141052,0.9826385378837585,0.10431043058633804,0.2680948078632355,0.4036079943180084,0.45670053362846375,0.4396629333496094
17,0.9842320084571838,0.9851160645484924,0.35024428367614746,0.49082064628601074,0.48260825872421265,0.3122147023677826,9.999999747378752e-06,0.5771973133087158,0.9793558716773987,0.98087078332901,0.1298673003911972,0.22906656563282013,0.39708274602890015,0.45759499073028564,0.4342218339443207
18,0.9840275645256042,0.9850470423698425,0.3384180963039398,0.46465301513671875,0.49458444118499756,0.31971055269241333,9.999999747378752e-06,0.5706756711006165,0.9774001240730286,0.97980797290802,0.1641046702861786,0.2891474664211273,0.44758617877960205,0.44727951288223267,0.4701615571975708
19,0.9840341210365295,0.9849088788032532,0.3477349579334259,0.49067288637161255,0.485050231218338,0.3089759647846222,9.999999747378752e-06,0.5770916938781738,0.9792554974555969,0.981440544128418,0.15629667043685913,0.320609986782074,0.42526859045028687,0.4469289183616638,0.47090399265289307
20,0.9851542711257935,0.9858726263046265,0.37278851866722107,0.5012069344520569,0.5103821754455566,0.2982676327228546,9.999999747378752e-06,0.5925625562667847,0.9800223112106323,0.9821329712867737,0.13051286339759827,0.3494839668273926,0.46504122018814087,0.44463860988616943,0.48179274797439575
21,0.984477162361145,0.9853665828704834,0.374034583568573,0.4883221685886383,0.49902012944221497,0.3030388057231903,9.999999747378752e-06,0.586685836315155,0.9798835515975952,0.9821845293045044,0.1230807974934578,0.32757461071014404,0.4290884733200073,0.4466368854045868,0.46548208594322205
22,0.9851973056793213,0.9860928058624268,0.3800238370895386,0.5061310529708862,0.5046365261077881,0.3015022873878479,9.999999747378752e-06,0.5942210555076599,0.9815403819084167,0.9834985136985779,0.12138984352350235,0.3402922749519348,0.4103718101978302,0.446363240480423,0.46388810873031616
23,0.9858059883117676,0.9864984750747681,0.40663427114486694,0.5221033692359924,0.5154037475585938,0.2927219867706299,9.999999747378752e-06,0.6076599359512329,0.9768999814987183,0.9795904755592346,0.14006218314170837,0.31252583861351013,0.4443747103214264,0.44915512204170227,0.4691382944583893
