epoch,accuracy,iou_class_0,iou_class_1,iou_class_2,iou_class_3,loss,lr,mean_iou,val_accuracy,val_iou_class_0,val_iou_class_1,val_iou_class_2,val_iou_class_3,val_loss,val_mean_iou
0,0.7877873182296753,0.7903598546981812,0.034990012645721436,0.03209557384252548,0.0005471516633406281,0.9743265509605408,9.999999747378752e-06,0.21449817717075348,0.9719069600105286,0.9719939827919006,4.0104109757521655e-06,0.0,0.0026587103493511677,0.9871640801429749,0.2436641901731491
1,0.9290411472320557,0.9326977729797363,0.06245190277695656,0.14504139125347137,0.002090833615511656,0.9574153423309326,9.999999747378752e-06,0.2855704724788666,0.9719752073287964,0.9720587730407715,0.0,0.0013800521846860647,0.0025266932789236307,0.9869776368141174,0.24399134516716003
2,0.9415259957313538,0.9440672993659973,0.09798368811607361,0.2162737101316452,0.005536063574254513,0.9459683895111084,9.999999747378752e-06,0.3159651756286621,0.9658268094062805,0.966240406036377,0.01868891716003418,0.007702873088419437,0.003404367947950959,0.9842019081115723,0.2490091472864151
3,0.9440265893936157,0.9464172124862671,0.12163060158491135,0.2666286528110504,0.03675117343664169,0.9350538849830627,9.999999747378752e-06,0.3428569436073303,0.9645947813987732,0.9674391746520996,0.11030957847833633,0.10222708433866501,0.05454466864466667,0.9609523415565491,0.30863016843795776
4,0.9551393985748291,0.9571285247802734,0.15007930994033813,0.31788092851638794,0.10646036267280579,0.9214431047439575,9.999999747378752e-06,0.3828872740268707,0.9698928594589233,0.9724198579788208,0.11667442321777344,0.09875554591417313,0.2236996591091156,0.9523328542709351,0.352887362241745
5,0.9627950191497803,0.9642693996429443,0.17666254937648773,0.3368481695652008,0.1730339378118515,0.9118384718894958,9.999999747378752e-06,0.4127035140991211,0.9686118364334106,0.9707723259925842,0.11903886497020721,0.14930686354637146,0.23617753386497498,0.9450291395187378,0.36882394552230835
6,0.9679167866706848,0.9690958857536316,0.20758023858070374,0.3744104206562042,0.21702073514461517,0.9032149314880371,9.999999747378752e-06,0.442026823759079,0.9634743332862854,0.9660831689834595,0.10687877982854843,0.21888883411884308,0.2714361250400543,0.935147225856781,0.3908217251300812
7,0.9727745056152344,0.9737418293952942,0.23140498995780945,0.40136051177978516,0.2853010296821594,0.8982617259025574,9.999999747378752e-06,0.47295206785202026,0.974618673324585,0.9768837094306946,0.08740288019180298,0.22894717752933502,0.32152900099754333,0.9401158094406128,0.4036906659603119
8,0.9741770029067993,0.9751675724983215,0.2546814978122711,0.411795437335968,0.29868727922439575,0.8899550437927246,9.999999747378752e-06,0.4850829541683197,0.9612188339233398,0.9638139009475708,0.11296331137418747,0.2311951220035553,0.23367302119731903,0.9317834377288818,0.3854113221168518
9,0.9746068716049194,0.9754477739334106,0.2703348696231842,0.4172053039073944,0.2932986617088318,0.8891087770462036,9.999999747378752e-06,0.48907166719436646,0.9642264246940613,0.9665759205818176,0.10850144177675247,0.26030051708221436,0.3068932890892029,0.9297943711280823,0.4105678200721741
10,0.976128876209259,0.9768878221511841,0.2757284641265869,0.44427165389060974,0.33257704973220825,0.8856384754180908,9.999999747378752e-06,0.5073662996292114,0.966783344745636,0.969215452671051,0.12157930433750153,0.24969610571861267,0.32277074456214905,0.9298946261405945,0.41581541299819946
11,0.977501392364502,0.9781423211097717,0.30311524868011475,0.4512560963630676,0.36136773228645325,0.8820733428001404,9.999999747378752e-06,0.523470401763916,0.9749424457550049,0.9772235155105591,0.1129443347454071,0.2622317671775818,0.3641272187232971,0.9322235584259033,0.42913171648979187
12,0.9783814549446106,0.9789924621582031,0.3132670223712921,0.45445239543914795,0.3757122755050659,0.8783785700798035,9.999999747378752e-06,0.5306060314178467,0.9700659513473511,0.9725106954574585,0.12553770840168,0.2681398391723633,0.3259813189506531,0.9301342964172363,0.4230424165725708
13,0.9785860180854797,0.9791730642318726,0.33383941650390625,0.4588172137737274,0.3594326972961426,0.8776178956031799,9.999999747378752e-06,0.5328155755996704,0.9778231978416443,0.9796164035797119,0.11115999519824982,0.27980053424835205,0.3634694814682007,0.9332786202430725,0.4335116147994995
14,0.9797012805938721,0.9802615642547607,0.3334493339061737,0.4718787372112274,0.40910604596138,0.8711675405502319,9.999999747378752e-06,0.5486739277839661,0.9716571569442749,0.9739947319030762,0.128731369972229,0.2827269434928894,0.2634807229042053,0.9303671717643738,0.4122334420681
15,0.9804043769836426,0.9808893799781799,0.36067062616348267,0.48542532324790955,0.4071022570133209,0.8661123514175415,9.999999747378752e-06,0.5585218667984009,0.9743810892105103,0.9763401746749878,0.1228114664554596,0.26294180750846863,0.353501558303833,0.9312859177589417,0.42889878153800964
16,0.9807584881782532,0.9812365174293518,0.3588826358318329,0.4812634289264679,0.41903913021087646,0.8648886680603027,9.999999747378752e-06,0.5601054430007935,0.9675446152687073,0.9702956676483154,0.10719241946935654,0.23366811871528625,0.31150829792022705,0.9303995966911316,0.4056661128997803
17,0.9812801480293274,0.9817267656326294,0.37748104333877563,0.4921906292438507,0.42172372341156006,0.8674505949020386,9.999999747378752e-06,0.5682805776596069,0.9722328782081604,0.9743416905403137,0.13143859803676605,0.276441752910614,0.31730592250823975,0.929673969745636,0.4248819947242737
18,0.9818185567855835,0.982215166091919,0.3871554136276245,0.49713560938835144,0.43637385964393616,0.8640205264091492,9.999999747378752e-06,0.5757200121879578,0.9744389057159424,0.97651207447052,0.13032618165016174,0.27417823672294617,0.3752758800983429,0.9289528727531433,0.4390730559825897
19,0.9819614887237549,0.9824054837226868,0.38754361867904663,0.48904597759246826,0.45034879446029663,0.8652805685997009,9.999999747378752e-06,0.5773359537124634,0.9697494506835938,0.9722669124603271,0.10395035147666931,0.23620744049549103,0.2962937653064728,0.9324031472206116,0.4021795988082886
20,0.9819828867912292,0.9823846817016602,0.3905639350414276,0.5053125619888306,0.44281670451164246,0.8614835143089294,9.999999747378752e-06,0.580269455909729,0.9765582084655762,0.9785885214805603,0.1291327178478241,0.2938385009765625,0.3930090367794037,0.9300553798675537,0.44864219427108765
21,0.9824904203414917,0.9828506708145142,0.4042070508003235,0.5075286030769348,0.4545111656188965,0.8629014492034912,9.999999747378752e-06,0.5872743725776672,0.9790266156196594,0.9806621670722961,0.12638814747333527,0.2987014651298523,0.36860793828964233,0.9320313930511475,0.4435899257659912
22,0.9825131893157959,0.9828828573226929,0.40739187598228455,0.4936845898628235,0.46256884932518005,0.8590360879898071,9.999999747378752e-06,0.5866320133209229,0.976099967956543,0.9780883193016052,0.13393893837928772,0.30106499791145325,0.35671794414520264,0.931096613407135,0.4424525499343872
23,0.9832708239555359,0.9836035966873169,0.4207132160663605,0.5166093111038208,0.47529688477516174,0.8575907349586487,9.999999747378752e-06,0.5990557074546814,0.9762035608291626,0.9783095121383667,0.11618076264858246,0.2867661416530609,0.34781160950660706,0.9299085736274719,0.43226704001426697
24,0.9829440116882324,0.9832876324653625,0.41809192299842834,0.5188237428665161,0.46569812297821045,0.8552448153495789,9.999999747378752e-06,0.59647536277771,0.9762319922447205,0.978285014629364,0.11960749328136444,0.27475786209106445,0.3509058356285095,0.9308613538742065,0.4308890700340271
