epoch,hier_iou_class_1,hier_iou_class_2,hier_iou_class_3,hier_mean_damage_iou,hier_mean_iou,loss,lr,val_hier_iou_class_1,val_hier_iou_class_2,val_hier_iou_class_3,val_hier_mean_damage_iou,val_hier_mean_iou,val_loss
5,0.28779852390289307,0.5297014713287354,0.5355170965194702,0.4462277293205261,0.585302472114563,0.8195409774780273,5e-06,0.1858862042427063,0.3979870080947876,0.4707924723625183,0.346401572227478,0.5103320479393005,1.059086799621582
6,0.28834810853004456,0.5298236608505249,0.5349019169807434,0.4467243254184723,0.585314154624939,0.8171901702880859,5e-06,0.18591639399528503,0.3973138928413391,0.47043880820274353,0.346460223197937,0.510077953338623,1.056815505027771
7,0.2888455390930176,0.5298718214035034,0.5344356298446655,0.44723430275917053,0.5853305459022522,0.8150419592857361,5e-06,0.18599282205104828,0.39677590131759644,0.47022488713264465,0.3466023802757263,0.5099039673805237,1.0547853708267212
8,0.28926900029182434,0.5298499464988708,0.5340561270713806,0.4477149248123169,0.5853321552276611,0.8130483627319336,5e-06,0.18602123856544495,0.39629337191581726,0.47010377049446106,0.3467685580253601,0.5097546577453613,1.0528830289840698
9,0.28963473439216614,0.5297817587852478,0.533782422542572,0.4481745958328247,0.5853338837623596,0.8111658692359924,5e-06,0.18609216809272766,0.3958622217178345,0.4698900580406189,0.3469257950782776,0.5096058249473572,1.0511096715927124
10,0.28995540738105774,0.5297266244888306,0.5335431098937988,0.4486198425292969,0.5853359699249268,0.8093694448471069,5e-06,0.1861235350370407,0.39549896121025085,0.4697721004486084,0.3471011221408844,0.5094878673553467,1.0494474172592163
11,0.2902933359146118,0.5296542644500732,0.5334203839302063,0.44904807209968567,0.5853676795959473,0.8076476454734802,5e-06,0.18617069721221924,0.39518091082572937,0.4697284400463104,0.34728488326072693,0.5094040632247925,1.0478817224502563
12,0.290584534406662,0.5295574069023132,0.5333303213119507,0.4494488537311554,0.5853897333145142,0.805993914604187,5e-06,0.18623891472816467,0.3949427902698517,0.4697197675704956,0.34748849272727966,0.509354829788208,1.0463734865188599
13,0.2908370792865753,0.5294747352600098,0.5332818627357483,0.44983285665512085,0.5854160785675049,0.8043971657752991,5e-06,0.18621620535850525,0.39470624923706055,0.4697076082229614,0.3476412892341614,0.5092823505401611,1.0449341535568237
14,0.2910744249820709,0.5293480157852173,0.533239483833313,0.4501795172691345,0.5854291915893555,0.8028427362442017,5e-06,0.1862226277589798,0.39449024200439453,0.46969854831695557,0.3477918803691864,0.509223222732544,1.0435444116592407
15,0.2913082242012024,0.5292595028877258,0.5332159996032715,0.4505302906036377,0.5854558348655701,0.8013285398483276,5e-06,0.18618392944335938,0.39433857798576355,0.469695121049881,0.347968190908432,0.50916987657547,1.0421947240829468
16,0.29150262475013733,0.5291395783424377,0.5332716107368469,0.45088106393814087,0.5854841470718384,0.7998436689376831,5e-06,0.1861983984708786,0.394208163022995,0.4697531759738922,0.34816479682922363,0.5091507434844971,1.0408903360366821
17,0.29166367650032043,0.5290277004241943,0.5332773327827454,0.451200008392334,0.5854939222335815,0.7983944416046143,5e-06,0.18616032600402832,0.3940543830394745,0.46975716948509216,0.3483113646507263,0.509099006652832,1.0396193265914917
18,0.291856974363327,0.5289239883422852,0.533324658870697,0.4515109658241272,0.5855245590209961,0.7969667911529541,5e-06,0.18613123893737793,0.39396464824676514,0.46976277232170105,0.34845566749572754,0.5090665221214294,1.0384031534194946
19,0.2920214831829071,0.528817892074585,0.5333978533744812,0.4517948627471924,0.5855541825294495,0.7955784201622009,5e-06,0.1861056387424469,0.39391276240348816,0.4698067307472229,0.34861791133880615,0.5090540647506714,1.0372095108032227
20,0.29215148091316223,0.5287156701087952,0.5334542989730835,0.45205003023147583,0.5855718851089478,0.7942088842391968,5e-06,0.18605679273605347,0.39386382699012756,0.4698598384857178,0.3487735688686371,0.5090386867523193,1.0360615253448486
21,0.29232871532440186,0.5286035537719727,0.5335416793823242,0.45230644941329956,0.5856069922447205,0.7928653359413147,5e-06,0.1860477775335312,0.39384108781814575,0.46990975737571716,0.34893736243247986,0.5090394616127014,1.0349384546279907
22,0.29244163632392883,0.5285075306892395,0.5336272716522217,0.4525545537471771,0.5856294631958008,0.7915506958961487,5e-06,0.18601322174072266,0.3938238024711609,0.4699695110321045,0.34910792112350464,0.5090373754501343,1.0338361263275146
23,0.2925669848918915,0.5284155607223511,0.5337413549423218,0.4528118371963501,0.5856631994247437,0.7902567386627197,5e-06,0.1859559416770935,0.3937585651874542,0.4700720012187958,0.3492584526538849,0.5090283751487732,1.0327609777450562
24,0.2926860451698303,0.5283035635948181,0.533832848072052,0.45306074619293213,0.5856845378875732,0.7889912724494934,5e-06,0.1858730912208557,0.3937487304210663,0.4701820909976959,0.34942132234573364,0.5090285539627075,1.0317176580429077
25,0.29278406500816345,0.5281878113746643,0.5339754819869995,0.4532991647720337,0.5857126712799072,0.7877414226531982,5e-06,0.18583285808563232,0.39376571774482727,0.4702174663543701,0.3495715260505676,0.5090279579162598,1.030686855316162
26,0.29287275671958923,0.5280783176422119,0.5340717434883118,0.4535289704799652,0.5857282876968384,0.7865187525749207,5e-06,0.18576322495937347,0.39378827810287476,0.47031643986701965,0.34974294900894165,0.5090369582176208,1.0296826362609863
27,0.29297348856925964,0.5280045866966248,0.5342039465904236,0.45376288890838623,0.5857653021812439,0.7853055000305176,5e-06,0.18569165468215942,0.3937723934650421,0.47034594416618347,0.34986114501953125,0.5090187191963196,1.0287106037139893
28,0.29309192299842834,0.5279148817062378,0.5343664288520813,0.45398879051208496,0.5858105421066284,0.7841173410415649,5e-06,0.18565572798252106,0.3937821686267853,0.4704431891441345,0.35000699758529663,0.5090330839157104,1.0277676582336426
29,0.29323485493659973,0.5278208255767822,0.5345127582550049,0.4541971981525421,0.5858570337295532,0.7829497456550598,5e-06,0.18556001782417297,0.39374297857284546,0.4705323874950409,0.35009169578552246,0.5090184211730957,1.0268476009368896
30,0.29337069392204285,0.5277488827705383,0.5346118807792664,0.4543921947479248,0.5858956575393677,0.781806468963623,5e-06,0.18547534942626953,0.39374175667762756,0.47059106826782227,0.3501836359500885,0.5090086460113525,1.0259592533111572
31,0.2935056686401367,0.5276456475257874,0.5347282290458679,0.45458489656448364,0.585930585861206,0.7806910276412964,5e-06,0.18540853261947632,0.3937319815158844,0.4706219434738159,0.3502722382545471,0.5089943408966064,1.025068998336792
32,0.2936268448829651,0.5275528430938721,0.534848153591156,0.45478636026382446,0.5859653949737549,0.7795975804328918,5e-06,0.18532241880893707,0.3937540650367737,0.4706796109676361,0.350384920835495,0.5089895725250244,1.0241929292678833
33,0.29372847080230713,0.5274512767791748,0.534958004951477,0.4549667537212372,0.5859906673431396,0.7785269618034363,5e-06,0.18522880971431732,0.3937700092792511,0.47075921297073364,0.3504968285560608,0.5089869499206543,1.023339867591858
34,0.29384124279022217,0.5273823738098145,0.5350459218025208,0.45515114068984985,0.5860215425491333,0.7774710655212402,5e-06,0.18514221906661987,0.3937970697879791,0.4707958400249481,0.35060688853263855,0.5089782476425171,1.0225034952163696
35,0.2939595878124237,0.5273089408874512,0.5351186990737915,0.4553377628326416,0.58604896068573,0.7764341235160828,5e-06,0.18504831194877625,0.39380019903182983,0.470831960439682,0.35070449113845825,0.5089614391326904,1.0216820240020752
36,0.2940409779548645,0.5272141695022583,0.5352259874343872,0.4555198550224304,0.5860702395439148,0.7754221558570862,5e-06,0.18497827649116516,0.39382848143577576,0.4708409905433655,0.35081911087036133,0.5089502334594727,1.0208615064620972
37,0.2941415309906006,0.5271232724189758,0.5352839231491089,0.45568180084228516,0.5860850811004639,0.7744205594062805,5e-06,0.18492963910102844,0.39387235045433044,0.4708647131919861,0.35093769431114197,0.5089524984359741,1.0200879573822021
38,0.2942562699317932,0.5270460247993469,0.5353878140449524,0.4558607339859009,0.5861186981201172,0.7734427452087402,5e-06,0.184843048453331,0.39384281635284424,0.4708913266658783,0.35101789236068726,0.5089273452758789,1.0193272829055786
39,0.29435601830482483,0.5269650220870972,0.5354585647583008,0.4560338854789734,0.5861390233039856,0.7724880576133728,5e-06,0.1847604513168335,0.393832802772522,0.4709005355834961,0.351107120513916,0.5089037418365479,1.0185781717300415
40,0.294467031955719,0.5269030928611755,0.5355397462844849,0.45620763301849365,0.5861697793006897,0.7715421915054321,5e-06,0.184697225689888,0.3938193619251251,0.47094807028770447,0.3512037992477417,0.5088940262794495,1.0178481340408325
41,0.2946149706840515,0.5268354415893555,0.5356069803237915,0.45639562606811523,0.586205005645752,0.7706162929534912,5e-06,0.18465223908424377,0.3938417434692383,0.47092220187187195,0.35129261016845703,0.5088797807693481,1.0171293020248413
42,0.29475393891334534,0.5267621278762817,0.5356884002685547,0.4565790891647339,0.5862401127815247,0.7697119116783142,5e-06,0.1845977008342743,0.3938450515270233,0.4709640145301819,0.3513924181461334,0.5088751316070557,1.0164350271224976
43,0.294890820980072,0.5266733169555664,0.535709798336029,0.4567413330078125,0.5862557888031006,0.7688265442848206,5e-06,0.18453757464885712,0.3938484489917755,0.4710087180137634,0.3514840304851532,0.5088700652122498,1.015752911567688
44,0.2950439155101776,0.526608943939209,0.5357633829116821,0.4569151997566223,0.5862898826599121,0.7679599523544312,5e-06,0.18447908759117126,0.39388179779052734,0.4710010588169098,0.35157960653305054,0.5088596343994141,1.0150885581970215
45,0.29517459869384766,0.5265365242958069,0.535815954208374,0.4570921063423157,0.586315929889679,0.767109215259552,5e-06,0.18441495299339294,0.393894761800766,0.47097742557525635,0.3516676425933838,0.5088385939598083,1.014437198638916
46,0.2952916622161865,0.5264683961868286,0.5358582139015198,0.4572601914405823,0.5863370895385742,0.7662747502326965,5e-06,0.18434195220470428,0.3939315974712372,0.47096750140190125,0.351757287979126,0.5088248252868652,1.0138096809387207
47,0.29542770981788635,0.526395320892334,0.5358970165252686,0.45742785930633545,0.5863609313964844,0.7654568552970886,5e-06,0.1842891126871109,0.3939698338508606,0.47093725204467773,0.35184556245803833,0.5088115930557251,1.0131921768188477
48,0.29557380080223083,0.5263268351554871,0.5359177589416504,0.45760205388069153,0.5863839387893677,0.7646529674530029,5e-06,0.1842050701379776,0.3939831852912903,0.4709490239620209,0.3519259989261627,0.5087946653366089,1.0125948190689087
49,0.29570528864860535,0.5262659192085266,0.5359553694725037,0.45777538418769836,0.5864094495773315,0.7638621926307678,5e-06,0.1841229349374771,0.39402326941490173,0.4709249436855316,0.3520001471042633,0.5087762475013733,1.0119978189468384
