patch_id,damage_iou
val_patch_00592,0.16955017299082467
val_patch_00434,0.1701795472260706
val_patch_00483,0.17138635803567137
val_patch_00179,0.1728989263214501
val_patch_00155,0.17336683416540935
val_patch_00163,0.17348087021646985
val_patch_00146,0.1744186046366762
val_patch_00651,0.17702448207588994
val_patch_00457,0.1789314516038845
val_patch_00385,0.18088001814265273
val_patch_00085,0.1818859485627794
val_patch_00186,0.1825878888269753
val_patch_00275,0.18426501033289183
val_patch_00640,0.18665886483105137
val_patch_00160,0.1881757176581702
val_patch_00359,0.1965452261294187
val_patch_00127,0.1971178387709698
val_patch_00038,0.1995581737702829
val_patch_00370,0.20081688221914112
val_patch_00135,0.20366132720781907
val_patch_00602,0.20384047266352337
val_patch_00001,0.2051889168755406
val_patch_00124,0.20784631835032688
val_patch_00389,0.20971563980687685
val_patch_00242,0.21075549749160125
val_patch_00016,0.21140319715733072
val_patch_00106,0.21174004192378895
val_patch_00418,0.21338912133421298
val_patch_00269,0.2142857142443464
val_patch_00204,0.2155172413527688
val_patch_00046,0.2158069096059169
val_patch_00142,0.21601387028049485
val_patch_00259,0.21658031085838547
val_patch_00268,0.21762589924143422
val_patch_00151,0.22026328161212358
val_patch_00037,0.22738706107025466
val_patch_00120,0.22760290555522983
val_patch_00098,0.22933070865013136
val_patch_00219,0.22974559686708612
val_patch_00198,0.2313894114454261
val_patch_00115,0.23333714416104562
val_patch_00111,0.23392812264270454
val_patch_00251,0.23728010825279242
val_patch_00311,0.23823184247961623
val_patch_00019,0.239328166661917
val_patch_00013,0.24088891994744438
val_patch_00341,0.24238238400811576
val_patch_00296,0.24315068484823604
val_patch_00589,0.24368686865610015
val_patch_00299,0.24522292985820923
val_patch_00112,0.24567087475985172
val_patch_00180,0.24591494426877006
val_patch_00281,0.24911032024037186
val_patch_00118,0.24994004796013225
val_patch_00272,0.25194805191533143
val_patch_00040,0.2524021560756409
val_patch_00362,0.2583399348626147
val_patch_00139,0.26165682099117554
val_patch_00679,0.26207776360163026
val_patch_00426,0.26334519570610804
val_patch_00383,0.2644611792552716
val_patch_00063,0.2647496281475087
val_patch_00365,0.2669680684686315
val_patch_00202,0.27002967351037693
val_patch_00347,0.2705530642737328
