epoch,accuracy,iou_class_0,iou_class_1,iou_class_2,iou_class_3,loss,lr,mean_iou,val_accuracy,val_iou_class_0,val_iou_class_1,val_iou_class_2,val_iou_class_3,val_loss,val_mean_iou
0,0.9587190747261047,0.9594902992248535,0.027764007449150085,0.009275399148464203,0.001449323259294033,0.5448816418647766,9.999999747378752e-06,0.2494947612285614,0.9795459508895874,0.9795458316802979,0.0,0.0,0.0,0.5725349187850952,0.24488645792007446
1,0.9725923538208008,0.9741441607475281,0.056177400052547455,0.10705146193504333,0.10634084045886993,0.48764973878860474,9.999999747378752e-06,0.31092846393585205,0.9799847602844238,0.9799845814704895,0.0,8.088850881904364e-05,0.0,0.5874484777450562,0.24501635134220123
2,0.9739986658096313,0.975898802280426,0.07338589429855347,0.1898764669895172,0.2595120072364807,0.4579741954803467,9.999999747378752e-06,0.37466830015182495,0.9795268177986145,0.9795318841934204,0.00028713318170048296,0.005937036592513323,0.0011852127499878407,0.5597115755081177,0.2467353343963623
3,0.9731845259666443,0.975332498550415,0.11374486237764359,0.23706215620040894,0.28263354301452637,0.4390319287776947,9.999999747378752e-06,0.40219324827194214,0.9792683720588684,0.9797999262809753,0.04115385562181473,0.1082507073879242,0.22999267280101776,0.4958327114582062,0.33979931473731995
4,0.9745920300483704,0.9765763878822327,0.1398354470729828,0.27001452445983887,0.29604223370552063,0.428362101316452,9.999999747378752e-06,0.42061713337898254,0.9792630672454834,0.9800028204917908,0.05961433798074722,0.19307465851306915,0.04387635737657547,0.49799099564552307,0.31914201378822327
5,0.976073145866394,0.9781559705734253,0.14653728902339935,0.2840997278690338,0.3365984559059143,0.41471004486083984,9.999999747378752e-06,0.4363478720188141,0.9791857004165649,0.9804579019546509,0.10621804744005203,0.18791846930980682,0.17176558077335358,0.4771181046962738,0.3615899682044983
6,0.9761003851890564,0.9778216481208801,0.17257708311080933,0.29639506340026855,0.32972678542137146,0.41092416644096375,9.999999747378752e-06,0.44413015246391296,0.9763854742050171,0.9784329533576965,0.14356876909732819,0.2563078999519348,0.3553730547428131,0.46069833636283875,0.43342068791389465
7,0.9773368835449219,0.9791067242622375,0.18403777480125427,0.3410027325153351,0.3415081799030304,0.3967627286911011,9.999999747378752e-06,0.4614138603210449,0.977506160736084,0.9794767498970032,0.13942278921604156,0.2719383239746094,0.37660714983940125,0.459542453289032,0.44186124205589294
8,0.9784471392631531,0.9801985025405884,0.21765801310539246,0.35699376463890076,0.369907945394516,0.3875710368156433,9.999999747378752e-06,0.4811895489692688,0.9779932498931885,0.9802510738372803,0.1386338621377945,0.28150099515914917,0.3828123211860657,0.4529680609703064,0.4457995891571045
9,0.979289174079895,0.9807499051094055,0.2444450408220291,0.3514896333217621,0.38168853521347046,0.3783595860004425,9.999999747378752e-06,0.4895932674407959,0.9746993184089661,0.9768390655517578,0.12750118970870972,0.28626614809036255,0.37147045135498047,0.4613434076309204,0.44051921367645264
